Wavelength,Resp
200,7.1268E-02
210,6.9882E-02
220,7.6205E-02
230,9.1128E-02
240,1.0859E-01
250,1.1548E-01
260,1.1888E-01
270,1.1512E-01
280,1.1654E-01
290,1.2294E-01
300,1.3043E-01
310,1.3230E-01
320,1.3092E-01
330,1.2895E-01
340,1.2736E-01
350,1.2508E-01
360,1.2053E-01
370,1.2202E-01
380,1.3585E-01
390,1.4997E-01
400,1.6264E-01
410,1.7417E-01
420,1.8641E-01
430,1.9798E-01
440,2.0973E-01
450,2.2133E-01
460,2.3306E-01
470,2.4482E-01
480,2.5713E-01
490,2.6915E-01
500,2.8101E-01
510,2.9282E-01
520,3.0464E-01
530,3.1663E-01
540,3.2838E-01
550,3.3990E-01
560,3.5122E-01
570,3.6244E-01
580,3.7316E-01
590,3.8376E-01
600,3.9447E-01
610,4.0493E-01
620,4.1425E-01
630,4.2401E-01
640,4.3307E-01
650,4.4215E-01
660,4.5115E-01
670,4.5965E-01
680,4.6781E-01
690,4.7556E-01
700,4.8316E-01
710,4.9066E-01
720,4.9783E-01
730,5.0431E-01
740,5.1102E-01
750,5.1716E-01
760,5.2292E-01
770,5.2881E-01
780,5.3434E-01
790,5.3936E-01
800,5.4503E-01
810,5.4866E-01
820,5.5251E-01
830,5.5619E-01
840,5.5956E-01
850,5.6216E-01
860,5.6412E-01
870,5.6615E-01
880,5.6732E-01
890,5.6764E-01
900,5.6716E-01
910,5.6525E-01
920,5.6328E-01
930,5.6106E-01
940,5.5757E-01
950,5.5005E-01
960,5.4340E-01
970,5.3261E-01
980,5.1917E-01
990,5.0710E-01
1000,4.9522E-01
1010,4.7969E-01
1020,4.6131E-01
1030,4.3910E-01
1040,4.0812E-01
1050,3.7289E-01
1060,3.3121E-01
1070,2.9399E-01
1080,2.6980E-01
1090,2.3395E-01
1100,2.0368E-01
