wavelength,CalIntensity
300,1.0277
310,0.95179
320,1.1451
330,1.2497
340,2.3706
350,2.6319
360,4.3083
370,5.9833
380,7.84
390,10.467
400,13.084
420,19.917
440,29.188
460,40.963
480,54.348
500,68.615
525,87.883
550,107.37
575,128.65
600,153.55
650,210.9
700,271.4
750,342.75
800,503.26
850,700.32
900,952.43
950,1290.5
1000,1721.1
1050,2248.9
